"","ID","Advertiser.ID","Media.Plans.Filter...Categories","Campaign.Campaign.Category...Campaign.Category...ID","Campaign.Type","Manager.ID","Management.Percent.Fee","Is.Utm.Enabled","Publish.Period.Start","Budget","Quality.Of.Advertise","Quality.Of.Business","Is.Official","Is.Short.Link.Enabled","Is.Competition.Or.Has.Award"
"2147",10933,3757,"ساخت",31,"REACH",67,10,"False","2021-12-05",0,4,6,"True","True","False"
"2158",9588,16345,"طنز",8,"INFLUENCE",47,10,"True","2021-11-10",0,5,5,"True","True","False"
"2159",11666,2249,"کتاب",4,"INFLUENCE",54,10,"True","2021-12-20",0,3,3,"True","True","False"
"2166",7409,8367,"ورزش",9,"REACH",16,10,"True","2021-08-31",0,6,7,"True","True","True"
"2173",12119,41267,"عمومی",35,"REACH",16,10,"True","2021-12-20",0,6,6,"True","True","True"
"2174",12119,41267,"عمومی",3,"REACH",16,10,"True","2021-12-20",0,6,6,"True","True","True"
"2185",15587,48331,"اقتصادی",15,"REACH",71,10,"True","2022-02-14",0,7,5,"True","True","False"
"2191",14963,38003,"وسایل",7,"INFLUENCE",86,10,"True","2022-02-09",0,5,6,"True","True","False"
"2202",11146,8136,"وسایل",19,"INFLUENCE",47,10,"True","2021-12-10",0,4,4,"True","True","True"
"2205",16515,31070,"مدلینگ",6,"REACH",86,10,"True","2022-03-02",0,6,5,"True","True","False"
"2215",8999,27029,"مادر",3,"REACH",23,10,"True","2021-10-20",0,7,6,"True","True","True"
"2216",11416,2560,"طنز",19,"INFLUENCE",47,10,"True","2021-12-11",0,8,5,"True","True","False"
"2219",9187,11821,"آموزش",12,"REACH",23,10,"True","2021-10-25",0,6,6,"True","True","False"
"2254",12504,30553,"سبک",6,"REACH",47,10,"True","2022-01-01",0,5,5,"True","True","False"
"2265",15380,51368,"دانشجویی",31,"REACH",67,10,"True","2022-02-13",0,4,4,"True","True","False"
"2269",14439,48216,"پزشکی",3,"INFLUENCE",54,10,"True","2022-01-31",0,6,6,"True","True","False"
"2272",16106,53806,"سفر",12,"REACH",47,10,"False","2022-02-23",0,4,4,"True","True","False"
"2283",9566,21380,"توصیه",15,"REACH",23,10,"True","2021-11-06",0,6,6,"True","True","False"
"2318",10383,31392,"آشپزی",2,"REACH",63,10,"True","2021-11-24",0,7,6,"True","True","False"
"2348",15112,48539,"شعر",6,"REACH",67,10,"True","2022-02-08",0,4,4,"True","True","False"
"2385",12209,27812,"روان‌شناسی",27,"REACH",63,10,"True","2021-12-22",0,6,6,"True","True","False"
"2396",11228,37155,"پوشاک",6,"REACH",25,10,"True","2021-12-07",0,2,3,"True","True","False"
"2405",10203,30966,"آشپزی",2,"INFLUENCE",25,10,"True","2021-11-25",0,4,2,"True","True","False"
"2410",9115,28223,"سبک",3,"REACH",16,10,"True","2021-10-23",0,7,6,"True","True","False"
"2417",9328,27731,"سبک",1,"REACH",25,10,"True","2021-10-28",0,6,7,"True","True","False"
"2434",8693,27260,"یادگیری",3,"INFLUENCE",25,10,"True","2021-10-10",0,3,3,"True","True","False"
"2440",9921,30359,"طراحی",33,"INFLUENCE",25,10,"True","2021-11-20",0,6,5,"True","True","False"
"2441",9921,30359,"طراحی",16,"INFLUENCE",25,10,"True","2021-11-20",0,6,5,"True","True","False"
"2480",9236,27329,"روان‌شناسی",33,"REACH",54,10,"True","2021-10-28",0,4,5,"True","True","False"
"2483",11339,37760,"سبک",6,"INFLUENCE",54,10,"True","2021-12-11",0,4,4,"True","True","False"
"2490",10651,27757,"سبک",1,"REACH",25,10,"True","2021-12-02",0,3,3,"True","True","False"
"2493",9737,28707,"عکاسی",33,"REACH",54,10,"True","2021-11-14",0,6,6,"True","True","False"
"2494",9737,28707,"عکاسی",16,"REACH",54,10,"True","2021-11-14",0,6,6,"True","True","False"
"2501",16794,13477,"آرایشی",31,"REACH",95,10,"True","2022-03-07",0,7,4,"True","True","False"
