"","ID","Advertiser.ID","Media.Plans.Filter...Categories","Campaign.Campaign.Category...Campaign.Category...ID","Campaign.Type","Manager.ID","Management.Percent.Fee","Is.Utm.Enabled","Publish.Period.Start","Budget","Quality.Of.Advertise","Quality.Of.Business","Is.Official","Is.Short.Link.Enabled","Is.Competition.Or.Has.Award"
"1411",7004,22651,"Family",1,"REACH",23,10,"True","2021-08-14",0,7,7,"True","True","False"
"1412",7004,22651,"Family",33,"REACH",23,10,"True","2021-08-14",0,7,7,"True","True","False"
"1418",8314,26415,"the cinema",8,"REACH",16,10,"True","2021-09-26",0,7,5,"True","True","False"
"1426",7995,25362,"Mother",2,"REACH",47,10,"True","2021-09-19",0,2,3,"True","True","False"
"1435",6472,21995,"Language",6,"REACH",20,10,"True","2021-07-26",0,5,6,"True","True","False"
"1442",6467,22651,"Family",13,"REACH",25,10,"False","2021-07-25",0,4,5,"True","True","False"
"1443",6467,22651,"Family",33,"REACH",25,10,"False","2021-07-25",0,4,5,"True","True","False"
"1444",6467,22651,"Family",1,"REACH",25,10,"False","2021-07-25",0,4,5,"True","True","False"
"1451",6856,23160,"Family",27,"REACH",28,10,"True","2021-08-09",0,4,5,"True","True","False"
"1453",7983,25070,"Mother",16,"INFLUENCE",25,10,"True","2021-09-19",0,5,6,"True","True","False"
"1454",7152,21659,"Education",5,"REACH",5,10,"False","2021-09-16",0,4,4,"True","True","False"
"1458",6905,23480,"Home",16,"INFLUENCE",25,10,"True","2021-08-21",0,4,5,"True","True","False"
"1459",6905,23480,"Home",1,"INFLUENCE",25,10,"True","2021-08-21",0,4,5,"True","True","False"
"1460",6905,23480,"Home",33,"INFLUENCE",25,10,"True","2021-08-21",0,4,5,"True","True","False"
"1470",7888,11167,"Photography",9,"INFLUENCE",47,10,"True","2021-09-15",0,3,4,"True","True","False"
"1471",7888,11167,"Photography",8,"INFLUENCE",47,10,"True","2021-09-15",0,3,4,"True","True","False"
"1475",7288,21799,"Family",6,"REACH",23,10,"True","2021-08-25",0,6,6,"True","True","False"
"1476",7288,21799,"Family",2,"REACH",23,10,"True","2021-08-25",0,6,6,"True","True","False"
"1487",7327,23196,"learning",34,"INFLUENCE",25,10,"True","2021-09-13",0,2,3,"True","True","False"
"1495",6861,22099,"cooking",12,"REACH",23,10,"True","2021-08-09",0,7,7,"True","True","False"
"1496",6861,22099,"cooking",8,"REACH",23,10,"True","2021-08-09",0,7,7,"True","True","False"
