name,type,color,_igraph_index,id
a_86320,FALSE,red,4838,4838
a_86338,FALSE,red,4839,4839
a_86345,FALSE,red,4840,4840
a_86349,FALSE,red,4841,4841
a_86357,FALSE,red,4842,4842
a_86374,FALSE,red,4843,4843
a_86381,FALSE,red,4844,4844
a_86393,FALSE,red,4845,4845
a_86410,FALSE,red,4846,4846
a_86427,FALSE,red,4847,4847
a_8643,FALSE,red,4848,4848
a_86435,FALSE,red,4849,4849
a_8644,FALSE,red,4850,4850
a_86444,FALSE,red,4851,4851
a_86449,FALSE,red,4852,4852
a_86456,FALSE,red,4853,4853
a_86459,FALSE,red,4854,4854
a_86463,FALSE,red,4855,4855
a_86480,FALSE,red,4856,4856
a_86544,FALSE,red,4857,4857
a_86554,FALSE,red,4858,4858
a_86556,FALSE,red,4859,4859
a_8657,FALSE,red,4860,4860
a_8658,FALSE,red,4861,4861
a_86583,FALSE,red,4862,4862
a_86597,FALSE,red,4863,4863
a_86604,FALSE,red,4864,4864
a_86606,FALSE,red,4865,4865
a_86631,FALSE,red,4866,4866
a_86637,FALSE,red,4867,4867
a_86654,FALSE,red,4868,4868
a_86655,FALSE,red,4869,4869
a_86681,FALSE,red,4870,4870
a_86718,FALSE,red,4871,4871
a_86764,FALSE,red,4872,4872
a_86775,FALSE,red,4873,4873
a_8678,FALSE,red,4874,4874
a_86785,FALSE,red,4875,4875
a_86813,FALSE,red,4876,4876
a_8684,FALSE,red,4877,4877
a_86845,FALSE,red,4878,4878
a_86848,FALSE,red,4879,4879
a_86876,FALSE,red,4880,4880
a_86882,FALSE,red,4881,4881
a_86905,FALSE,red,4882,4882
a_86950,FALSE,red,4883,4883
a_86956,FALSE,red,4884,4884
a_86975,FALSE,red,4885,4885
a_86987,FALSE,red,4886,4886
a_87019,FALSE,red,4887,4887
a_87079,FALSE,red,4888,4888
a_8709,FALSE,red,4889,4889
a_87096,FALSE,red,4890,4890
a_87098,FALSE,red,4891,4891
a_8712,FALSE,red,4892,4892
a_87145,FALSE,red,4893,4893
a_87162,FALSE,red,4894,4894
a_87168,FALSE,red,4895,4895
a_87176,FALSE,red,4896,4896
a_87184,FALSE,red,4897,4897
a_8720,FALSE,red,4898,4898
a_8722,FALSE,red,4899,4899
a_87230,FALSE,red,4900,4900
a_8724,FALSE,red,4901,4901
a_87242,FALSE,red,4902,4902
a_87266,FALSE,red,4903,4903
a_87267,FALSE,red,4904,4904
a_87269,FALSE,red,4905,4905
a_87275,FALSE,red,4906,4906
a_87280,FALSE,red,4907,4907
a_87289,FALSE,red,4908,4908
a_87299,FALSE,red,4909,4909
a_87300,FALSE,red,4910,4910
a_87312,FALSE,red,4911,4911
a_87316,FALSE,red,4912,4912
a_8732,FALSE,red,4913,4913
a_87371,FALSE,red,4914,4914
a_87406,FALSE,red,4915,4915
a_87431,FALSE,red,4916,4916
a_87441,FALSE,red,4917,4917
a_87453,FALSE,red,4918,4918
a_87459,FALSE,red,4919,4919
a_87465,FALSE,red,4920,4920
a_87471,FALSE,red,4921,4921
a_8751,FALSE,red,4922,4922
a_87546,FALSE,red,4923,4923
a_87577,FALSE,red,4924,4924
a_87610,FALSE,red,4925,4925
a_87622,FALSE,red,4926,4926
a_8764,FALSE,red,4927,4927
a_87653,FALSE,red,4928,4928
a_87658,FALSE,red,4929,4929
a_87701,FALSE,red,4930,4930
a_8771,FALSE,red,4931,4931
a_87727,FALSE,red,4932,4932
a_87730,FALSE,red,4933,4933
a_87758,FALSE,red,4934,4934
a_87779,FALSE,red,4935,4935
a_87838,FALSE,red,4936,4936
a_87850,FALSE,red,4937,4937
a_87871,FALSE,red,4938,4938
a_87914,FALSE,red,4939,4939
a_87925,FALSE,red,4940,4940
a_8793,FALSE,red,4941,4941
a_87942,FALSE,red,4942,4942
a_87947,FALSE,red,4943,4943
a_87950,FALSE,red,4944,4944
a_87961,FALSE,red,4945,4945
a_87978,FALSE,red,4946,4946
a_87997,FALSE,red,4947,4947
a_88006,FALSE,red,4948,4948
a_88008,FALSE,red,4949,4949
a_88019,FALSE,red,4950,4950
a_88024,FALSE,red,4951,4951
a_88052,FALSE,red,4952,4952
